Rec_number,LatencyGA.goal,Species,LatencyMAU.goal,Social_unit
R200252,10.67,MG,14.68,Muk
R201444,0,MG,12.91,Muk
R201608,1.72,MG,1.72,Muk
R200691,1.96,MG,2.07,Muk
R200515,0.65,MG,1.34,Muk
R201361,0,MG,3.39,Muk
R200511,2.15,MG,2.67,Muk
R200539,1.95,MG,2.5,Muk
R200477,0.17,MG,3.4,Muk
R200450,1.04,MG,2.79,Muk
R200354,0,MG,7.46,Muk
R201192,3.94,MG,3.94,Muk
R203097,2.61,MG,3.9,Muk
R201374,2.12,MG,3.37,Muk
R201637,2.17,MG,2.91,Muk
R201204,2.78,MG,3.12,Muk
R201647,1.39,MG,2.1,Muk
R201646,-0.01,MG,0.12,Muk
R200382,0.76,MG,1.26,Muk
R201378,1.04,MG,1.6,Muk
R200783,0.87,MG,16.82,Muk
R201558,0.84,MG,0.84,Muk
R201196,0.92,MG,1.42,Muk
R201528,0.79,MG,2.25,Muk
R201281,0.29,MG,1.3,Muk
R201471,1.88,MG,2.1,Muk
R200444,5.43,MG,6.45,Muk
R200441,0.24,MG,1.57,Muk
R200445,0.61,MG,0.61,Muk
R200428,1.05,MG,1.05,Muk
R201591,0.69,MG,1.04,Muk
R200353,0.71,MG,2.57,Muk
R201449,1.22,MG,1.44,Muk
R201372,2.23,MG,2.23,Muk
R200517,0.06,MG,2.66,Muk
R200519,2.12,MG,2.12,Muk
R200063,0.96,MG,3.84,Muk
R200500,0.8,MG,1.05,Muk
R200485,2.44,MG,2.44,Muk
R200396,0.08,MG,0.58,Muk
R200525,0,MG,5.76,Muk
R200443,0.01,MG,1.79,Muk
R200456,0.02,MG,0.02,Muk
R200397,24.18,MG,24.18,Muk
R200728,0.26,MG,1.12,Muk
R201238,1.11,MG,2.85,Muk
R200697,1.7,MG,2.06,Muk
R200065,0.77,MG,0.81,Muk
R200236,3.58,MG,3.73,Muk
R200521,0.92,MG,2.25,Muk
R200786,1.44,MG,2.08,Muk
R201614,0.01,MG,1.43,Muk
R200701,0.43,MG,0.52,Muk
R201219,0.75,MG,1.84,Muk
R201253,0.11,MG,1.61,Ruk
R201322,2,MG,3.35,Ruk
R200562,0.82,MG,0.82,Ruk
R201254,0,MG,3.72,Ruk
R200024,17.78,MG,18.44,Ruk
R200015,0,MG,2.89,Ruk
R200734,0.73,MG,1.31,Ruk
R200567,0.11,MG,0.11,Ruk
R200563,0,MG,1.52,Ruk
R200557,2.49,MG,2.54,Ruk
R200993,0.01,MG,1.23,Ruk
R200016,0,MG,2.64,Ruk
R200011,0,MG,4.77,Ruk
R200543,0,MG,4.45,Ruk
R201151,0,MG,1.1,Ruk
R200546,2.02,MG,3.48,Ruk
R201326,31.58,MG,32.7,Ruk
R200014,0.02,MG,4.11,Ruk
R200018,0,MG,2.52,Ruk
R200547,0,MG,5.92,Ruk
R200373,1.99,MG,2.35,Bit
R201075,0.6,MG,3.32,Bit
R200035,1.89,MG,3.26,Bit
R201684,0.36,MG,0.73,Bit
R200040,3.48,MG,60.98,Bit
R200111,0.61,MG,0.61,Bit
R200984,0.55,MG,0.83,Bit
R201366,1.98,MG,2.82,Bit
R200173,4.74,MG,5.38,Bit
R200411,2.3,MG,2.63,Bit
R200962,2.8,MG,3.1,Bit
R200412,5.73,MG,7.63,Bit
R200108,0,MG,2.2,Bit
R201287,0.18,MG,0.18,Bit
R200101,0,MG,4.42,Bit
R201661,9.58,MG,9.86,Bit
R200424,2.45,MG,3.08,Bit
R201243,0.01,MG,4.76,Bit
R200420,9.19,MG,9.42,Bit
R200094,4,MG,5.04,Bit
R200340,1.91,MG,1.91,Bit
R200421,0.67,MG,1.07,Bit
R203306,0,MG,2.36,Oru
R200200,0.35,MG,0.95,Oru
R200081,0.69,MG,0.69,Oru
R200074,0.76,MG,2.66,Oru
R200195,1.47,MG,1.95,Oru
R202500,5.8,MG,5.8,Muk
R201811,0,MG,3.84,Muk
R202845,0,MG,5.99,Muk
R203076,1.64,MG,1.92,Muk
R202858,0,MG,0.68,Muk
R202853,0,MG,8.36,Muk
R202854,0,MG,0.35,Muk
R202937,0.03,MG,1.65,Muk
R202701,0,MG,2.26,Muk
R202582,0,MG,1.55,Muk
R201718,0.76,MG,34.4,Muk
R202857,0,MG,6.37,Muk
R202691,0.53,MG,1.85,Muk
R202991,1.56,MG,1.99,Muk
R202627,0.64,MG,4.13,Muk
R201816,3.24,MG,5.4,Muk
R202690,1.28,MG,2.07,Muk
R202886,1.81,MG,6.36,Muk
R202887,0.65,MG,2.37,Muk
R202962,2.58,MG,2.65,Muk
R202688,0.02,MG,1.65,Muk
R201796,2.32,MG,3.1,Muk
R202989,0,MG,1.83,Muk
R202633,2.69,MG,6.2,Muk
R201813,3.74,MG,3.74,Muk
R202849,0.03,MG,1.27,Muk
R202579,0,MG,0.39,Muk
R202936,0,MG,2.26,Muk
R202882,0,MG,4.81,Muk
R202576,3.9,MG,4.28,Muk
R202825,0.03,MG,5.29,Muk
R201801,0.04,MG,0.04,Muk
R202835,0,MG,0,Muk
R201738,1.84,MG,2.21,Muk
R202637,4.01,MG,4.01,Muk
R201743,5.29,MG,6,Muk
R201445,-0.03,MG,0.72,Muk
R200574,0.65,MG,1.76,Muk
R202983,0,MG,1.16,Muk
R202933,0.82,MG,1.8,Muk
R202856,0,MG,40.17,Muk
R202855,0,MG,1.27,Muk
R202873,-0,MG,0.45,Muk
R201741,1.17,MG,7.4,Muk
R202848,0,MG,0.95,Muk
R202846,0.04,MG,0.62,Muk
R202941,0.13,MG,3.96,Ruk
R202945,0,MG,0.61,Ruk
R202943,0,MG,3.92,Ruk
R202940,0,MG,3.28,Ruk
R203047,0,MG,0,Bit
R202659,0.11,MG,4.31,Bit
R203028,0,MG,2.75,Bit
R201922,1.12,MG,32.24,Bit
R201751,2.31,MG,2.71,Bit
R201754,0.65,MG,1.81,Bit
R202948,1.34,MG,2.08,Bit
R202950,0,MG,7.48,Bit
R203023,0.51,MG,1.22,Bit
R202658,0,MG,6.18,Bit
R203046,0,MG,0,Bit
R202953,9.65,MG,10.32,Bit
R202954,0,MG,0,Bit
R202753,0.15,MG,0.15,Bit
R201924,0.16,MG,8.38,Bit
R201832,3.24,MG,5.92,Bit
R202563,2.34,MG,2.34,Bit
R202680,0,MG,2.08,Bit
R203024,0,MG,0.34,Bit
R203026,0,MG,3.36,Bit
R202951,0.01,MG,2.36,Bit
R203025,0,MG,1.43,Bit
R203041,0,MG,1.59,Oru
R202424,3.82,MG,4.14,Muk
R202226,0,MG,4.78,Muk
R202063,0,MG,3.57,Muk
R202040,-0.24,MG,-0.24,Muk
R203275,0.01,MG,2.15,Muk
R202249,0.04,MG,4.5,Muk
R202207,0.05,MG,4.54,Muk
R202213,0,MG,0.98,Muk
R202154,0.27,MG,2.34,Muk
R202037,0.56,MG,0.56,Muk
R202419,0,MG,5.51,Muk
R202220,0.06,MG,1.2,Muk
R202241,0,MG,10.47,Muk
R202219,0,MG,0.32,Muk
R202223,0,MG,0,Muk
R202061,0,MG,78.11,Muk
R202156,0.08,MG,4.48,Muk
R202224,0,MG,6.94,Muk
R202140,0.06,MG,6.66,Muk
R202288,0,MG,0.73,Bit
R202301,0,MG,4.44,Bit
R202304,0,MG,9.73,Bit
R201991,-0.04,MG,4.4,Bit
R202075,0.16,MG,0.16,Bit
R203278,0,MG,0.65,Bit
R203279,0,MG,0.92,Bit
R202109,2.32,MG,2.8,Bit
R201996,-0,MG,7.21,Bit
R202366,2.68,MG,2.68,Bit
R201995,24.92,MG,25.96,Bit
R202350,0.12,MG,3.88,Bit
R202365,0.1,MG,8.42,Bit
R202284,1.9,MG,4.74,Bit
R202271,0.93,MG,1.54,Bit
R202335,1.55,MG,2.7,Bit
R202370,0,MG,0.52,Bit
R203280,4.74,MG,6.5,Oru
R203287,0,MG,4.34,Oru
R203288,-0,MG,0.94,Oru
R203281,1.29,MG,2.19,Oru
R203230,2.42,MG,2.42,Muk
R203216,1.79,MG,2.56,Muk
R203099,0,MG,35.8,Muk
R203215,6.18,MG,7.88,Muk
R203098,0,MG,1.15,Muk
R203236,4.08,MG,5.1,Muk
R203182,0.89,MG,1.59,Muk
R203144,2.74,MG,3.47,Muk
R203180,10.29,MG,15.06,Muk
R203242,2.5,MG,3.21,Muk
R203104,0.06,MG,0.95,Muk
R203178,1.33,MG,1.54,Muk
R203152,2.04,MG,2.55,Ruk
R203208,0.04,MG,1.75,Ruk
R203210,0,MG,2.24,Ruk
R203177,1.56,MG,1.56,Ruk
R203207,0,MG,6.96,Ruk
R203163,0,MG,10.88,Ruk
R203189,1.99,MG,1.99,Bit
R201512,0,MG,0.36,Bit
R203150,0.21,MG,44.8,Bit
R203260,0.87,MG,8.4,Bit
R203196,0.01,MG,6.76,Bit
R201879,4.41,MG,5,Bit
R203259,2.48,MG,3.25,Bit
NA,0.68,MG,1.04,Bit
R203168,0.32,MG,1.93,Bit
